Tokyo's Nikkei Index of 225 stocks jumped 527.39 points to close at 34996.08.,O-Tokyo X-' X-s O-Nik X-##ke X-##i O-Index O-of B-dependent-225 B-head-stocks O-jumped O-52 X-##7 X-. X-39 O-points O-to O-close O-at O-34 X-##9 X-##9 X-##6 X-. X-08 O-.
"British Gas finished at 197, down 2, on 13 million shares, British Petroleum fell 8 to 291 on 9.4 million shares, and British Telecom was 4 lower at 261 on turnover of 10 million shares.","O-British O-Gas O-finished O-at O-197 O-, B-head-down B-dependent-2 O-, O-on O-13 O-million O-shares O-, O-British O-Petroleum O-fell O-8 O-to O-29 X-##1 O-on O-9 X-. X-4 O-million O-shares O-, O-and O-British O-Telecom O-was O-4 O-lower O-at O-261 O-on O-turnover O-of O-10 O-million O-shares O-."
"British Gas finished at 197, down 2, on 13 million shares, British Petroleum fell 8 to 291 on 9.4 million shares, and British Telecom was 4 lower at 261 on turnover of 10 million shares.","O-British O-Gas O-finished O-at O-197 O-, O-down O-2 O-, O-on O-13 B-dependent-million B-head-shares O-, O-British O-Petroleum O-fell O-8 O-to O-29 X-##1 O-on O-9 X-. X-4 O-million O-shares O-, O-and O-British O-Telecom O-was O-4 O-lower O-at O-261 O-on O-turnover O-of O-10 O-million O-shares O-."
"British Gas finished at 197, down 2, on 13 million shares, British Petroleum fell 8 to 291 on 9.4 million shares, and British Telecom was 4 lower at 261 on turnover of 10 million shares.","O-British O-Gas O-finished O-at O-197 O-, O-down O-2 O-, O-on O-13 O-million O-shares O-, O-British O-Petroleum O-fell O-8 O-to O-29 X-##1 O-on O-9 X-. X-4 B-dependent-million B-head-shares O-, O-and O-British O-Telecom O-was O-4 O-lower O-at O-261 O-on O-turnover O-of O-10 O-million O-shares O-."
"British Gas finished at 197, down 2, on 13 million shares, British Petroleum fell 8 to 291 on 9.4 million shares, and British Telecom was 4 lower at 261 on turnover of 10 million shares.","O-British O-Gas O-finished O-at O-197 O-, O-down O-2 O-, O-on O-13 O-million O-shares O-, O-British O-Petroleum O-fell O-8 O-to O-29 X-##1 O-on O-9 X-. X-4 O-million O-shares O-, O-and O-British O-Telecom O-was O-4 O-lower O-at O-261 O-on O-turnover O-of O-10 B-dependent-million B-head-shares O-."
"Also in active trading, British Steel fell 1 to 124 as 20 million shares changed hands.","O-Also O-in O-active O-trading O-, O-British O-Steel O-fell B-dependent-1 O-to O-124 O-as O-20 O-million B-head-shares O-changed O-hands O-."
"Also in active trading, British Steel fell 1 to 124 as 20 million shares changed hands.","O-Also O-in O-active O-trading O-, O-British O-Steel O-fell O-1 O-to O-124 O-as O-20 B-dependent-million B-head-shares O-changed O-hands O-."
"Racal Electric, which traded 11 million shares, declined 12 to 218.","O-Ra X-##cal O-Electric O-, O-which O-traded O-11 B-dependent-million B-head-shares O-, O-declined O-12 O-to O-218 O-."
"In Hong Kong, Sydney and Singapore -- the largest of those exchanges -- stocks recovered one-third to one-half of the ground they lost in Monday's plunge, with major market indexes posting gains of 3.6% to 4.4%.","O-In O-Hong O-Kong O-, O-Sydney O-and O-Singapore O-- X-- O-the O-largest O-of O-those O-exchanges O-- X-- O-stocks O-recovered B-dependent-one O-- B-head-third O-to O-one O-- O-half O-of O-the O-ground O-they O-lost O-in O-Monday O-' X-s O-p X-##lung X-##e O-, O-with O-major O-market O-index X-##es O-posting O-gains O-of O-3 X-. X-6 O-% O-to O-4 X-. X-4 O-% O-."
"In Hong Kong, Sydney and Singapore -- the largest of those exchanges -- stocks recovered one-third to one-half of the ground they lost in Monday's plunge, with major market indexes posting gains of 3.6% to 4.4%.","O-In O-Hong O-Kong O-, O-Sydney O-and O-Singapore O-- X-- O-the O-largest O-of O-those O-exchanges O-- X-- O-stocks O-recovered O-one O-- O-third O-to B-dependent-one O-- B-head-half O-of O-the O-ground O-they O-lost O-in O-Monday O-' X-s O-p X-##lung X-##e O-, O-with O-major O-market O-index X-##es O-posting O-gains O-of O-3 X-. X-6 O-% O-to O-4 X-. X-4 O-% O-."
"In Hong Kong, Sydney and Singapore -- the largest of those exchanges -- stocks recovered one-third to one-half of the ground they lost in Monday's plunge, with major market indexes posting gains of 3.6% to 4.4%.","O-In O-Hong O-Kong O-, O-Sydney O-and O-Singapore O-- X-- O-the O-largest O-of O-those O-exchanges O-- X-- O-stocks O-recovered O-one O-- O-third O-to O-one O-- O-half O-of O-the O-ground O-they O-lost O-in O-Monday O-' X-s O-p X-##lung X-##e O-, O-with O-major O-market O-index X-##es O-posting O-gains O-of B-dependent-3 X-. X-6 B-head-% O-to O-4 X-. X-4 O-% O-."
"In Hong Kong, Sydney and Singapore -- the largest of those exchanges -- stocks recovered one-third to one-half of the ground they lost in Monday's plunge, with major market indexes posting gains of 3.6% to 4.4%.","O-In O-Hong O-Kong O-, O-Sydney O-and O-Singapore O-- X-- O-the O-largest O-of O-those O-exchanges O-- X-- O-stocks O-recovered O-one O-- O-third O-to O-one O-- O-half O-of O-the O-ground O-they O-lost O-in O-Monday O-' X-s O-p X-##lung X-##e O-, O-with O-major O-market O-index X-##es O-posting O-gains O-of O-3 X-. X-6 O-% O-to B-dependent-4 X-. X-4 B-head-% O-."
"Reynolds Metals Co. said third-quarter net income dropped nearly 10% to $123.7 million, or $2.10 a share, from $137.2 million, or $2.56 a share, a year earlier.","O-Reynolds O-Metal X-##s O-Co X-. O-said O-third O-- O-quarter O-net O-income O-dropped O-nearly B-dependent-10 B-head-% O-to O-$ O-123 X-. X-7 O-million O-, O-or O-$ O-2 X-. X-10 O-a O-share O-, O-from O-$ O-137 X-. X-2 O-million O-, O-or O-$ O-2 X-. X-56 O-a O-share O-, O-a O-year O-earlier O-."
"Reynolds Metals Co. said third-quarter net income dropped nearly 10% to $123.7 million, or $2.10 a share, from $137.2 million, or $2.56 a share, a year earlier.","O-Reynolds O-Metal X-##s O-Co X-. O-said O-third O-- O-quarter O-net O-income O-dropped O-nearly O-10 O-% O-to B-head-$ O-123 X-. X-7 B-dependent-million O-, O-or O-$ O-2 X-. X-10 O-a O-share O-, O-from O-$ O-137 X-. X-2 O-million O-, O-or O-$ O-2 X-. X-56 O-a O-share O-, O-a O-year O-earlier O-."
"Reynolds Metals Co. said third-quarter net income dropped nearly 10% to $123.7 million, or $2.10 a share, from $137.2 million, or $2.56 a share, a year earlier.","O-Reynolds O-Metal X-##s O-Co X-. O-said O-third O-- O-quarter O-net O-income O-dropped O-nearly O-10 O-% O-to O-$ O-123 X-. X-7 O-million O-, O-or B-head-$ B-dependent-2 X-. X-10 O-a O-share O-, O-from O-$ O-137 X-. X-2 O-million O-, O-or O-$ O-2 X-. X-56 O-a O-share O-, O-a O-year O-earlier O-."
"Reynolds Metals Co. said third-quarter net income dropped nearly 10% to $123.7 million, or $2.10 a share, from $137.2 million, or $2.56 a share, a year earlier.","O-Reynolds O-Metal X-##s O-Co X-. O-said O-third O-- O-quarter O-net O-income O-dropped O-nearly O-10 O-% O-to O-$ O-123 X-. X-7 O-million O-, O-or O-$ O-2 X-. X-10 O-a O-share O-, O-from B-head-$ O-137 X-. X-2 B-dependent-million O-, O-or O-$ O-2 X-. X-56 O-a O-share O-, O-a O-year O-earlier O-."
"Reynolds Metals Co. said third-quarter net income dropped nearly 10% to $123.7 million, or $2.10 a share, from $137.2 million, or $2.56 a share, a year earlier.","O-Reynolds O-Metal X-##s O-Co X-. O-said O-third O-- O-quarter O-net O-income O-dropped O-nearly O-10 O-% O-to O-$ O-123 X-. X-7 O-million O-, O-or O-$ O-2 X-. X-10 O-a O-share O-, O-from O-$ O-137 X-. X-2 O-million O-, O-or B-head-$ B-dependent-2 X-. X-56 O-a O-share O-, O-a O-year O-earlier O-."
Revenue rose 3% to $1.52 billion from $1.48 billion.,O-Revenue O-rose B-dependent-3 B-head-% O-to O-$ O-1 X-. X-52 O-billion O-from O-$ O-1 X-. X-48 O-billion O-.
Revenue rose 3% to $1.52 billion from $1.48 billion.,O-Revenue O-rose O-3 O-% O-to B-head-$ O-1 X-. X-52 B-dependent-billion O-from O-$ O-1 X-. X-48 O-billion O-.
Revenue rose 3% to $1.52 billion from $1.48 billion.,O-Revenue O-rose O-3 O-% O-to O-$ O-1 X-. X-52 O-billion O-from B-head-$ O-1 X-. X-48 B-dependent-billion O-.
"1 domestic aluminum producer, Aluminum Co. of America, Friday said its earnings fell 3.2% to $219 million, or $2.46 a share.","B-dependent-1 O-domestic O-aluminum B-head-producer O-, O-Al X-##umi X-##num O-Co X-. O-of O-America O-, O-Friday O-said O-its O-earnings O-fell O-3 X-. X-2 O-% O-to O-$ O-219 O-million O-, O-or O-$ O-2 X-. X-46 O-a O-share O-."
"1 domestic aluminum producer, Aluminum Co. of America, Friday said its earnings fell 3.2% to $219 million, or $2.46 a share.","O-1 O-domestic O-aluminum O-producer O-, O-Al X-##umi X-##num O-Co X-. O-of O-America O-, O-Friday O-said O-its O-earnings O-fell B-dependent-3 X-. X-2 B-head-% O-to O-$ O-219 O-million O-, O-or O-$ O-2 X-. X-46 O-a O-share O-."
"1 domestic aluminum producer, Aluminum Co. of America, Friday said its earnings fell 3.2% to $219 million, or $2.46 a share.","O-1 O-domestic O-aluminum O-producer O-, O-Al X-##umi X-##num O-Co X-. O-of O-America O-, O-Friday O-said O-its O-earnings O-fell O-3 X-. X-2 O-% O-to B-head-$ O-219 B-dependent-million O-, O-or O-$ O-2 X-. X-46 O-a O-share O-."
"1 domestic aluminum producer, Aluminum Co. of America, Friday said its earnings fell 3.2% to $219 million, or $2.46 a share.","O-1 O-domestic O-aluminum O-producer O-, O-Al X-##umi X-##num O-Co X-. O-of O-America O-, O-Friday O-said O-its O-earnings O-fell O-3 X-. X-2 O-% O-to O-$ O-219 O-million O-, O-or B-head-$ B-dependent-2 X-. X-46 O-a O-share O-."
"And Alcan Aluminium Ltd. yesterday reported net income slid 30% to $180 million, or 77 cents a share, from $258 million, or $1.07 a share.","O-And O-Al X-##can O-Al X-##umi X-##nium O-Ltd X-. O-yesterday O-reported O-net O-income O-slid B-dependent-30 B-head-% O-to O-$ O-180 O-million O-, O-or O-77 O-cents O-a O-share O-, O-from O-$ O-258 O-million O-, O-or O-$ O-1 X-. X-07 O-a O-share O-."
"And Alcan Aluminium Ltd. yesterday reported net income slid 30% to $180 million, or 77 cents a share, from $258 million, or $1.07 a share.","O-And O-Al X-##can O-Al X-##umi X-##nium O-Ltd X-. O-yesterday O-reported O-net O-income O-slid O-30 O-% O-to B-head-$ O-180 B-dependent-million O-, O-or O-77 O-cents O-a O-share O-, O-from O-$ O-258 O-million O-, O-or O-$ O-1 X-. X-07 O-a O-share O-."
"And Alcan Aluminium Ltd. yesterday reported net income slid 30% to $180 million, or 77 cents a share, from $258 million, or $1.07 a share.","O-And O-Al X-##can O-Al X-##umi X-##nium O-Ltd X-. O-yesterday O-reported O-net O-income O-slid O-30 O-% O-to O-$ O-180 O-million O-, O-or B-dependent-77 B-head-cents O-a O-share O-, O-from O-$ O-258 O-million O-, O-or O-$ O-1 X-. X-07 O-a O-share O-."
"And Alcan Aluminium Ltd. yesterday reported net income slid 30% to $180 million, or 77 cents a share, from $258 million, or $1.07 a share.","O-And O-Al X-##can O-Al X-##umi X-##nium O-Ltd X-. O-yesterday O-reported O-net O-income O-slid O-30 O-% O-to O-$ O-180 O-million O-, O-or O-77 O-cents O-a O-share O-, O-from B-head-$ O-258 B-dependent-million O-, O-or O-$ O-1 X-. X-07 O-a O-share O-."
"And Alcan Aluminium Ltd. yesterday reported net income slid 30% to $180 million, or 77 cents a share, from $258 million, or $1.07 a share.","O-And O-Al X-##can O-Al X-##umi X-##nium O-Ltd X-. O-yesterday O-reported O-net O-income O-slid O-30 O-% O-to O-$ O-180 O-million O-, O-or O-77 O-cents O-a O-share O-, O-from O-$ O-258 O-million O-, O-or B-head-$ B-dependent-1 X-. X-07 O-a O-share O-."
Analysts on average had been expecting about $2.70 for Alcoa and $1 for Alcan.,O-Ana X-##ly X-##sts O-on O-average O-had O-been O-expecting O-about B-head-$ B-dependent-2 X-. X-70 O-for O-Al X-##coa O-and O-$ O-1 O-for O-Al X-##can O-.
Analysts on average had been expecting about $2.70 for Alcoa and $1 for Alcan.,O-Ana X-##ly X-##sts O-on O-average O-had O-been O-expecting O-about O-$ O-2 X-. X-70 O-for O-Al X-##coa O-and B-head-$ B-dependent-1 O-for O-Al X-##can O-.
"""It's a good indication that level of profitability has peaked for the industry,"" says Vahid Fathi, metals analyst with Prescott, Ball & Turben Inc., who had estimated Reynolds would earn about $2.35 a share.","O-"" O-It O-' X-s O-a O-good O-indication O-that O-level O-of O-profit X-##ability O-has O-peaked O-for O-the O-industry O-, O-"" O-says O-V X-##ahi X-##d O-Fat X-##hi O-, O-metals O-analyst O-with O-Prescott O-, O-Ball O-& O-Tu X-##rb X-##en O-Inc X-. O-, O-who O-had O-estimated O-Reynolds O-would O-earn O-about B-head-$ B-dependent-2 X-. X-35 O-a O-share O-."
"2 aluminum company said earnings were hurt by lower prices for certain fabricated aluminum products, which typically follow price fluctuations of primary ingots.","B-dependent-2 O-aluminum B-head-company O-said O-earnings O-were O-hurt O-by O-lower O-prices O-for O-certain O-fabricated O-aluminum O-products O-, O-which O-typically O-follow O-price O-flu X-##ct X-##uations O-of O-primary O-ing X-##ots O-."
The base metal price has dropped 30.3% from a year earlier to 78 cents a pound.,O-The O-base O-metal O-price O-has O-dropped B-dependent-30 X-. X-3 B-head-% O-from O-a O-year O-earlier O-to O-78 O-cents O-a O-pound O-.
The base metal price has dropped 30.3% from a year earlier to 78 cents a pound.,O-The O-base O-metal O-price O-has O-dropped O-30 X-. X-3 O-% O-from O-a O-year O-earlier O-to B-dependent-78 B-head-cents O-a O-pound O-.
"Aluminum shipments of 329,600 metric tons were nearly equal to the year-earlier period, the company said.","O-Al X-##umi X-##num O-shipment X-##s O-of B-dependent-32 X-##9 X-, X-600 O-metric B-head-tons O-were O-nearly O-equal O-to O-the O-year O-- O-earlier O-period O-, O-the O-company O-said O-."
"In composite trading on the New York Stock Exchange, Reynolds closed at $55.375, up $1.25.","O-In O-composite O-trading O-on O-the O-New O-York O-Stock O-Exchange O-, O-Reynolds O-closed O-at B-head-$ B-dependent-55 X-. X-375 O-, O-up O-$ O-1 X-. X-25 O-."
"In composite trading on the New York Stock Exchange, Reynolds closed at $55.375, up $1.25.","O-In O-composite O-trading O-on O-the O-New O-York O-Stock O-Exchange O-, O-Reynolds O-closed O-at O-$ O-55 X-. X-375 O-, O-up B-head-$ B-dependent-1 X-. X-25 O-."
"THE YOM KIPPUR WAR, WHEN EGYPT CRASHED into Israel on Oct. 6, 1973, the holiest day in the Jewish calendar, lasted barely a month.","O-THE O-Y X-##OM O-K X-##IP X-##P X-##UR O-WA X-##R O-, O-W X-##H X-##EN O-E X-##G X-##YP X-##T O-CR X-##AS X-##H X-##ED O-into O-Israel O-on B-head-Oct X-. B-dependent-6 O-, O-1973 O-, O-the O-ho X-##liest O-day O-in O-the O-Jewish O-calendar O-, O-lasted O-barely O-a O-month O-."
"THE YOM KIPPUR WAR, WHEN EGYPT CRASHED into Israel on Oct. 6, 1973, the holiest day in the Jewish calendar, lasted barely a month.","O-THE O-Y X-##OM O-K X-##IP X-##P X-##UR O-WA X-##R O-, O-W X-##H X-##EN O-E X-##G X-##YP X-##T O-CR X-##AS X-##H X-##ED O-into O-Israel O-on B-head-Oct X-. O-6 O-, B-dependent-1973 O-, O-the O-ho X-##liest O-day O-in O-the O-Jewish O-calendar O-, O-lasted O-barely O-a O-month O-."
But one far-afield effect is still with us.,O-But B-dependent-one O-far O-- O-a X-##field B-head-effect O-is O-still O-with O-us O-.
"Early in October, six Arab nations in the Persian Gulf jacked up prices sharply.","O-Early O-in O-October O-, B-dependent-six O-Arab B-head-nations O-in O-the O-Persian O-Gulf O-jack X-##ed O-up O-prices O-sharply O-."
"On Oct. 22, led by Saudi Arabia, the world's largest exporter, they embargoed oil shipments to the U.S. and to the Netherlands, Israel's staunchest European ally.","O-On B-head-Oct X-. B-dependent-22 O-, O-led O-by O-Saudi O-Arabia O-, O-the O-world O-' X-s O-largest O-export X-##er O-, O-they O-em X-##bar X-##go X-##ed O-oil O-shipment X-##s O-to O-the O-U X-. X-S X-. O-and O-to O-the O-Netherlands O-, O-Israel O-' X-s O-s X-##ta X-##unch X-##est O-European O-ally O-."
"Imports, then six million barrels a day, came primarily from Venezuela and Canada.","O-I X-##mpo X-##rts O-, O-then O-six B-dependent-million B-head-barrels O-a O-day O-, O-came O-primarily O-from O-Venezuela O-and O-Canada O-."
"By 1973, the U.S. was bringing in two million barrels of Arab oil a day, more than 10% of the 17.3 million barrels consumed daily.","O-By O-1973 O-, O-the O-U X-. X-S X-. O-was O-bringing O-in B-dependent-two B-head-million O-barrels O-of O-Arab O-oil O-a O-day O-, O-more O-than O-10 O-% O-of O-the O-17 X-. X-3 O-million O-barrels O-consumed O-daily O-."
"By 1973, the U.S. was bringing in two million barrels of Arab oil a day, more than 10% of the 17.3 million barrels consumed daily.","O-By O-1973 O-, O-the O-U X-. X-S X-. O-was O-bringing O-in O-two B-dependent-million B-head-barrels O-of O-Arab O-oil O-a O-day O-, O-more O-than O-10 O-% O-of O-the O-17 X-. X-3 O-million O-barrels O-consumed O-daily O-."
