Tokyo's Nikkei Index of 225 stocks jumped 527.39 points to close at 34996.08.,O-Tokyo O-' X-s O-Nik X-##ke X-##i O-Index O-of B-CD-225 O-stocks O-jumped B-CD-52 X-##7 X-. X-39 O-points O-to O-close O-at B-CD-34 X-##9 X-##9 X-##6 X-. X-08 O-.
"Reynolds Metals Co. said third-quarter net income dropped nearly 10% to $123.7 million, or $2.10 a share, from $137.2 million, or $2.56 a share, a year earlier.","O-Reynolds O-Metal X-##s O-Co X-. O-said O-third X-- X-quarter O-net O-income O-dropped O-nearly B-CD-10 O-% O-to O-$ B-CD-123 X-. X-7 B-CD-million O-, O-or O-$ B-CD-2 X-. X-10 O-a O-share O-, O-from O-$ B-CD-137 X-. X-2 B-CD-million O-, O-or O-$ B-CD-2 X-. X-56 O-a O-share O-, O-a O-year O-earlier O-."
The latest earnings reflect an increase of about 5.5 million in common shares outstanding.,O-The O-latest O-earnings O-reflect O-an O-increase O-of O-about B-CD-5 X-. X-5 B-CD-million O-in O-common O-shares O-outstanding O-.
Revenue rose 3% to $1.52 billion from $1.48 billion.,O-Revenue O-rose B-CD-3 O-% O-to O-$ B-CD-1 X-. X-52 B-CD-billion O-from O-$ B-CD-1 X-. X-48 B-CD-billion O-.
"1 domestic aluminum producer, Aluminum Co. of America, Friday said its earnings fell 3.2% to $219 million, or $2.46 a share.","B-CD-1 O-domestic O-aluminum O-producer O-, O-Al X-##umi X-##num O-Co X-. O-of O-America O-, O-Friday O-said O-its O-earnings O-fell B-CD-3 X-. X-2 O-% O-to O-$ B-CD-219 B-CD-million O-, O-or O-$ B-CD-2 X-. X-46 O-a O-share O-."
"And Alcan Aluminium Ltd. yesterday reported net income slid 30% to $180 million, or 77 cents a share, from $258 million, or $1.07 a share.","O-And O-Al X-##can O-Al X-##umi X-##nium O-Ltd O-. O-yesterday O-reported O-net O-income O-slid B-CD-30 O-% O-to O-$ B-CD-180 B-CD-million O-, O-or B-CD-77 O-cents O-a O-share O-, O-from O-$ B-CD-258 B-CD-million O-, O-or O-$ B-CD-1 X-. X-07 O-a O-share O-."
Analysts on average had been expecting about $2.70 for Alcoa and $1 for Alcan.,O-Ana X-##ly X-##sts O-on O-average O-had O-been O-expecting O-about O-$ B-CD-2 X-. X-70 O-for O-Al X-##coa O-and O-$ B-CD-1 O-for O-Al X-##can O-.
"""It's a good indication that level of profitability has peaked for the industry,"" says Vahid Fathi, metals analyst with Prescott, Ball & Turben Inc., who had estimated Reynolds would earn about $2.35 a share.","O-"" O-It O-' X-s O-a O-good O-indication O-that O-level O-of O-profit X-##ability O-has O-peaked O-for O-the O-industry O-, X-"" O-says O-V X-##ahi X-##d O-Fat X-##hi O-, O-metals O-analyst O-with O-Prescott O-, O-Ball O-& O-Tu X-##rb X-##en O-Inc X-. O-, O-who O-had O-estimated O-Reynolds O-would O-earn O-about O-$ B-CD-2 X-. X-35 O-a O-share O-."
"2 aluminum company said earnings were hurt by lower prices for certain fabricated aluminum products, which typically follow price fluctuations of primary ingots.","B-CD-2 O-aluminum O-company O-said O-earnings O-were O-hurt O-by O-lower O-prices O-for O-certain O-fabricated O-aluminum O-products O-, O-which O-typically O-follow O-price O-flu X-##ct X-##uations O-of O-primary O-ing X-##ots O-."
The base metal price has dropped 30.3% from a year earlier to 78 cents a pound.,O-The O-base O-metal O-price O-has O-dropped B-CD-30 X-. X-3 O-% O-from O-a O-year O-earlier O-to B-CD-78 O-cents O-a O-pound O-.
"Aluminum shipments of 329,600 metric tons were nearly equal to the year-earlier period, the company said.","O-Al X-##umi X-##num O-shipment X-##s O-of B-CD-32 X-##9 X-, X-600 O-metric O-tons O-were O-nearly O-equal O-to O-the O-year X-- X-earlier O-period O-, O-the O-company O-said O-."
"In composite trading on the New York Stock Exchange, Reynolds closed at $55.375, up $1.25.","O-In O-composite O-trading O-on O-the O-New O-York O-Stock O-Exchange O-, O-Reynolds O-closed O-at O-$ B-CD-55 X-. X-375 O-, O-up O-$ B-CD-1 X-. X-25 O-."
"THE YOM KIPPUR WAR, WHEN EGYPT CRASHED into Israel on Oct. 6, 1973, the holiest day in the Jewish calendar, lasted barely a month.","O-THE O-Y X-##OM O-K X-##IP X-##P X-##UR O-WA X-##R O-, O-W X-##H X-##EN O-E X-##G X-##YP X-##T O-CR X-##AS X-##H X-##ED O-into O-Israel O-on O-Oct X-. B-CD-6 O-, B-CD-1973 O-, O-the O-ho X-##liest O-day O-in O-the O-Jewish O-calendar O-, O-lasted O-barely O-a O-month O-."
But one far-afield effect is still with us.,O-But B-CD-one O-far X-- X-a X-##field O-effect O-is O-still O-with O-us O-.
"Early in October, six Arab nations in the Persian Gulf jacked up prices sharply.","O-Early O-in O-October O-, B-CD-six O-Arab O-nations O-in O-the O-Persian O-Gulf O-jack X-##ed O-up O-prices O-sharply O-."
"On Oct. 22, led by Saudi Arabia, the world's largest exporter, they embargoed oil shipments to the U.S. and to the Netherlands, Israel's staunchest European ally.","O-On O-Oct X-. B-CD-22 O-, O-led O-by O-Saudi O-Arabia O-, O-the O-world O-' X-s O-largest O-export X-##er O-, O-they O-em X-##bar X-##go X-##ed O-oil O-shipment X-##s O-to O-the O-U X-. X-S X-. O-and O-to O-the O-Netherlands O-, O-Israel O-' X-s O-s X-##ta X-##unch X-##est O-European O-ally O-."
"In 1956, when Britain, France and Israel invaded Egypt to seize the Suez Canal, Arab producers cut off supplies to Europe.","O-In B-CD-1956 O-, O-when O-Britain O-, O-France O-and O-Israel O-invaded O-Egypt O-to O-seize O-the O-Suez O-Canal O-, O-Arab O-producers O-cut O-off O-supplies O-to O-Europe O-."
"U.S. oil supplies, however, had peaked in 1970 and 1971 and by 1973 were declining.","O-U X-. X-S X-. O-oil O-supplies O-, O-however O-, O-had O-peaked O-in B-CD-1970 O-and B-CD-1971 O-and O-by B-CD-1973 O-were O-declining O-."
"Imports, then six million barrels a day, came primarily from Venezuela and Canada.","O-I X-##mpo X-##rts O-, O-then B-CD-six B-CD-million O-barrels O-a O-day O-, O-came O-primarily O-from O-Venezuela O-and O-Canada O-."
"By 1973, the U.S. was bringing in two million barrels of Arab oil a day, more than 10% of the 17.3 million barrels consumed daily.","O-By B-CD-1973 O-, O-the O-U X-. X-S X-. O-was O-bringing O-in B-CD-two B-CD-million O-barrels O-of O-Arab O-oil O-a O-day O-, O-more O-than B-CD-10 O-% O-of O-the B-CD-17 X-. X-3 B-CD-million O-barrels O-consumed O-daily O-."
"The embargo lasted only six months, but the price hikes became a fact of life.","O-The O-em X-##bar X-##go O-lasted O-only B-CD-six O-months O-, O-but O-the O-price O-hike X-##s O-became O-a O-fact O-of O-life O-."
"Once and for all, $5-a-barrel crude oil and 35-cents-a-gallon gasoline were history.","O-Once O-and O-for O-all O-, O-$ B-CD-5 X-- X-a X-- X-barrel O-crude O-oil O-and O-35 X-- X-cents X-- X-a X-- X-gal X-##lon O-gasoline O-were O-history O-."
"Lockheed Corp. -- $300 million of 9 3/8% notes due Oct. 15, 1999, priced at 99.90 to yield 9.39%.","O-Lockheed O-Corp O-. O-- X-- O-$ B-CD-300 B-CD-million O-of B-CD-9 B-CD-3 O-/ B-CD-8 O-% O-notes O-due O-Oct X-. B-CD-15 O-, B-CD-1999 O-, O-priced O-at B-CD-99 X-. X-90 O-to O-yield B-CD-9 X-. X-39 O-% O-."
The issue was priced at a spread of 137.5 basis points above the Treasury's 10-year note.,O-The O-issue O-was O-priced O-at O-a O-spread O-of B-CD-137 X-. X-5 O-basis O-points O-above O-the O-Treasury O-' X-s O-10 X-- X-year O-note O-.
"California Health Facilities Financing Authority -- $144.35 million of revenue bonds for Kaiser Permanente, due 19931999, 2004, 2008, 2018 and 2019, tentatively priced by a PaineWebber Inc. group to yield from 6.25% in 1993 to 7.227% in 2018.","O-California O-Health O-F X-##ac X-##ilities O-Fin X-##an X-##cing O-Authority O-- X-- O-$ B-CD-144 X-. X-35 B-CD-million O-of O-revenue O-bonds O-for O-Kaiser O-Permanent X-##e O-, O-due B-CD-1993 X-##19 X-##9 X-##9 O-, B-CD-2004 O-, B-CD-2008 O-, B-CD-2018 O-and B-CD-2019 O-, O-tentatively O-priced O-by O-a O-Pain X-##e X-##W X-##eb X-##ber O-Inc O-. O-group O-to O-yield O-from B-CD-6 X-. X-25 O-% O-in B-CD-1993 O-to B-CD-7 X-. X-227 O-% O-in B-CD-2018 O-."
Serial bonds were priced to yield to 6.80% in 1999.,O-Ser X-##ial O-bonds O-were O-priced O-to O-yield O-to B-CD-6 X-. X-80 O-% O-in B-CD-1999 O-.
There are about $10 million of 7% bonds priced at 99 1/4 to yield 7.081% in 2004; about $15 million of 7% bonds priced at 98 1/2 to yield 7.145% in 2008; about $88.35 million of 7% bonds priced at 97 1/4 to yield 7.227% in 2018; and about $15 million of 6 3/4% bonds priced to yield 7.15% in 2019.,O-There O-are O-about O-$ B-CD-10 B-CD-million O-of B-CD-7 O-% O-bonds O-priced O-at B-CD-99 B-CD-1 O-/ B-CD-4 O-to O-yield B-CD-7 X-. X-08 X-##1 O-% O-in B-CD-2004 O-; O-about O-$ B-CD-15 B-CD-million O-of B-CD-7 O-% O-bonds O-priced O-at B-CD-98 B-CD-1 O-/ B-CD-2 O-to O-yield B-CD-7 X-. X-145 O-% O-in B-CD-2008 O-; O-about O-$ B-CD-88 X-. X-35 B-CD-million O-of B-CD-7 O-% O-bonds O-priced O-at B-CD-97 B-CD-1 O-/ B-CD-4 O-to O-yield B-CD-7 X-. X-227 O-% O-in B-CD-2018 O-; O-and O-about O-$ B-CD-15 B-CD-million O-of B-CD-6 B-CD-3 O-/ B-CD-4 O-% O-bonds O-priced O-to O-yield B-CD-7 X-. X-15 O-% O-in B-CD-2019 O-.
"Pennsylvania Higher Education Facilities Authority -- approximately $117 million of revenue bonds for Hahnemann University, Series 1989, due 1990-2002, 2009 and 2019, priced late Monday by a Merrill Lynch Capital Markets group to yield from 6% in 1990 to 7.282% in 2019.","O-Pennsylvania O-Higher O-Education O-F X-##ac X-##ilities O-Authority O-- X-- O-approximately O-$ B-CD-117 B-CD-million O-of O-revenue O-bonds O-for O-Hahn X-##emann O-University O-, O-Series B-CD-1989 O-, O-due B-CD-1990 X-- X-2002 O-, B-CD-2009 O-and B-CD-2019 O-, O-priced O-late O-Monday O-by O-a O-Merrill O-Lynch O-Capital O-Markets O-group O-to O-yield O-from B-CD-6 O-% O-in B-CD-1990 O-to B-CD-7 X-. X-28 X-##2 O-% O-in B-CD-2019 O-."
Serial bonds were priced to yield from 6% in 1990 to 7.10% in 2002.,O-Ser X-##ial O-bonds O-were O-priced O-to O-yield O-from B-CD-6 O-% O-in B-CD-1990 O-to B-CD-7 X-. X-10 O-% O-in B-CD-2002 O-.
"There are about $25.6 million of 7.2% term bonds due 2009, priced to yield 7.25%, and about $66.8 million of 7.2% term bonds due 2019, priced at 99 to yield 7.282%.","O-There O-are O-about O-$ B-CD-25 X-. X-6 B-CD-million O-of B-CD-7 X-. X-2 O-% O-term O-bonds O-due B-CD-2009 O-, O-priced O-to O-yield B-CD-7 X-. X-25 O-% O-, O-and O-about O-$ B-CD-66 X-. X-8 B-CD-million O-of B-CD-7 X-. X-2 O-% O-term O-bonds O-due B-CD-2019 O-, O-priced O-at B-CD-99 O-to O-yield B-CD-7 X-. X-28 X-##2 O-% O-."
"Connecticut -- $100.4 million of general obligation capital appreciation bonds, College Savings Plan, 1989 Series B, priced by a Prudential-Bache Capital Funding group.","O-Connecticut O-- X-- O-$ B-CD-100 X-. X-4 B-CD-million O-of O-general O-obligation O-capital O-appreciation O-bonds O-, O-College O-Savings O-Plan O-, B-CD-1989 O-Series O-B O-, O-priced O-by O-a O-P X-##rud X-##ential X-- X-Bach X-##e O-Capital O-Funding O-group O-."
"The zero-coupon bonds were priced to yield to maturity from 6.25% in 1994 to 6.90% in 2006, 2007 and 2009.","O-The O-zero X-- X-coup X-##on O-bonds O-were O-priced O-to O-yield O-to O-maturity O-from B-CD-6 X-. X-25 O-% O-in B-CD-1994 O-to B-CD-6 X-. X-90 O-% O-in B-CD-2006 O-, B-CD-2007 O-and B-CD-2009 O-."
"Oregon -- $100 million of general obligation veterans' tax notes, Series 1989, dated Nov. 1, 1989, and due Nov. 1, 1990, through a Chemical Securities Inc. group.","O-Oregon O-- X-- O-$ B-CD-100 B-CD-million O-of O-general O-obligation O-veterans X-' O-tax O-notes O-, O-Series B-CD-1989 O-, O-dated O-Nov X-. B-CD-1 O-, B-CD-1989 O-, O-and O-due O-Nov X-. B-CD-1 O-, B-CD-1990 O-, O-through O-a O-Chemical O-Securities O-Inc O-. O-group O-."
The group is offering the notes priced as 6 3/4% securities to yield 6.25%.,O-The O-group O-is O-offering O-the O-notes O-priced O-as B-CD-6 B-CD-3 O-/ B-CD-4 O-% O-securities O-to O-yield B-CD-6 X-. X-25 O-% O-.
University of Medicine and Dentistry of New Jersey -- $55.8 million of Series C bonds priced by a Prudential-Bache Capital Funding group.,O-University O-of O-Medicine O-and O-Den X-##tist X-##ry O-of O-New O-Jersey O-- X-- O-$ B-CD-55 X-. X-8 B-CD-million O-of O-Series O-C O-bonds O-priced O-by O-a O-P X-##rud X-##ential X-- X-Bach X-##e O-Capital O-Funding O-group O-.
"The bonds, rated single-A by Moody's and double-A by S&P, were priced to yield from 6.20% in 1992 to 7.26% in 2019.","O-The O-bonds O-, O-rated O-single X-- X-A O-by O-Moody O-' X-s O-and O-double X-- X-A O-by O-S O-& O-P O-, O-were O-priced O-to O-yield O-from B-CD-6 X-. X-20 O-% O-in B-CD-1992 O-to B-CD-7 X-. X-26 O-% O-in B-CD-2019 O-."
All serial bonds are being offered at par except those due 2002.,O-All O-serial O-bonds O-are O-being O-offered O-at O-par O-except O-those O-due B-CD-2002 O-.
Federal Home Loan Mortgage Corp. -- $500 million of Remic mortgage securities being offered in eight classes by Salomon Brothers Inc.,O-Federal O-Home O-Lo X-##an O-Mo X-##rt X-##ga X-##ge O-Corp O-. O-- X-- O-$ B-CD-500 B-CD-million O-of O-Re X-##mic O-mortgage O-securities O-being O-offered O-in B-CD-eight O-classes O-by O-Sal X-##omo X-##n O-Brothers O-Inc O-.
"The offering, Series 104, is backed by Freddie Mac 9% securities.","O-The O-offering O-, O-Series O-104 O-, O-is O-backed O-by O-Freddie O-Mac B-CD-9 O-% O-securities O-."
Federal National Mortgage Association -- $350 million of Remic mortgage securities being offered in 11 classes by Greenwich Capital Markets.,O-Federal O-National O-Mo X-##rt X-##ga X-##ge O-Association O-- X-- O-$ B-CD-350 B-CD-million O-of O-Re X-##mic O-mortgage O-securities O-being O-offered O-in B-CD-11 O-classes O-by O-Greenwich O-Capital O-Markets O-.
"The offering, Series 1989-82, is backed by Fannie Mae 9 1/2% securities and used at-market pricing.","O-The O-offering O-, O-Series B-CD-1989 X-- X-82 O-, O-is O-backed O-by O-Fan X-##nie O-Mae B-CD-9 B-CD-1 O-/ B-CD-2 O-% O-securities O-and O-used O-at X-- X-market O-pricing O-."
The issue brings Fannie Mae's 1989 Remic issuance to $30.2 billion and its total volume to $42.3 billion since the program began in April 1987.,O-The O-issue O-brings O-Fan X-##nie O-Mae O-' X-s B-CD-1989 O-Re X-##mic O-is X-##su X-##ance O-to O-$ B-CD-30 X-. X-2 B-CD-billion O-and O-its O-total O-volume O-to O-$ B-CD-42 X-. X-3 B-CD-billion O-since O-the O-program O-began O-in O-April B-CD-1987 O-.
"Hanshin Electric Railway Co. (Japan) -- $150 million of bonds due Nov. 2, 1993, with equity-purchase warrants, indicating a 4% coupon at par, via Nomura International Ltd.","O-Hans X-##hin O-Electric O-Railway O-Co O-. O-( O-Japan O-) O-- X-- O-$ B-CD-150 B-CD-million O-of O-bonds O-due O-Nov X-. B-CD-2 O-, B-CD-1993 O-, O-with O-equity X-- X-purchase O-warrant X-##s O-, O-indicating O-a B-CD-4 O-% O-coup X-##on O-at O-par O-, O-via O-No X-##mura O-International O-Ltd O-."
"Each $5,000 bond carries one warrant, exercisable from Nov. 16, 1989, through Oct. 19, 1993, to buy company shares at an expected premium of 2 1/2% to the closing share price when terms are fixed Oct. 24.","O-Each O-$ B-CD-5 X-, X-000 O-bond O-carries B-CD-one O-warrant O-, O-ex X-##er X-##cis X-##able O-from O-Nov X-. B-CD-16 O-, B-CD-1989 O-, O-through O-Oct X-. B-CD-19 O-, B-CD-1993 O-, O-to O-buy O-company O-shares O-at O-an O-expected O-premium O-of B-CD-2 B-CD-1 O-/ B-CD-2 O-% O-to O-the O-closing O-share O-price O-when O-terms O-are O-fixed O-Oct X-. B-CD-24 O-."
"Toyobo Co. (Japan) -- $150 million of bonds due Nov. 1, 1993, with equity-purchase warrants, indicating a 4% coupon at par, via Daiwa Europe Ltd.","O-Toy X-##ob X-##o O-Co O-. O-( O-Japan O-) O-- X-- O-$ B-CD-150 B-CD-million O-of O-bonds O-due O-Nov X-. B-CD-1 O-, B-CD-1993 O-, O-with O-equity X-- X-purchase O-warrant X-##s O-, O-indicating O-a B-CD-4 O-% O-coup X-##on O-at O-par O-, O-via O-Dai X-##wa O-Europe O-Ltd O-."
"Each $5000 bond carries one warrant, exercisable from Nov. 15, 1989, to Oct. 18, 1993, to buy company shares at an expected premium of 2 1/2% to the closing share price when terms are fixed Oct. 23.","O-Each O-$ B-CD-5000 O-bond O-carries B-CD-one O-warrant O-, O-ex X-##er X-##cis X-##able O-from O-Nov X-. B-CD-15 O-, B-CD-1989 O-, O-to O-Oct X-. B-CD-18 O-, B-CD-1993 O-, O-to O-buy O-company O-shares O-at O-an O-expected O-premium O-of B-CD-2 B-CD-1 O-/ B-CD-2 O-% O-to O-the O-closing O-share O-price O-when O-terms O-are O-fixed O-Oct X-. B-CD-23 O-."
