"Among steel shares, NKK rose 19 to 705 yen ($4.97) a share, and Nippon Steel gained 17 to 735.","O-Among O-steel O-shares O-, O-N X-##K X-##K O-rose O-19 O-to O-70 X-##5 O-ye X-##n B-$-( X-$ O-4 X-. X-97 O-) O-a O-share O-, O-and O-Nippon O-Steel O-gained O-17 O-to O-73 X-##5 O-."
"Oregon -- $100 million of general obligation veterans' tax notes, Series 1989, dated Nov. 1, 1989, and due Nov. 1, 1990, through a Chemical Securities Inc. group.","O-Oregon O-- X-- B-$-$ O-100 O-million O-of O-general O-obligation O-veterans X-' O-tax O-notes O-, O-Series O-1989 O-, O-dated O-Nov X-. O-1 O-, O-1989 O-, O-and O-due O-Nov X-. O-1 O-, O-1990 O-, O-through O-a O-Chemical O-Securities O-Inc O-. O-group O-."
University of Medicine and Dentistry of New Jersey -- $55.8 million of Series C bonds priced by a Prudential-Bache Capital Funding group.,O-University O-of O-Medicine O-and O-Den X-##tist X-##ry O-of O-New O-Jersey O-- X-- B-$-$ O-55 X-. X-8 O-million O-of O-Series O-C O-bonds O-priced O-by O-a O-P X-##rud X-##ential X-- X-Bach X-##e O-Capital O-Funding O-group O-.
Federal Home Loan Mortgage Corp. -- $500 million of Remic mortgage securities being offered in eight classes by Salomon Brothers Inc.,O-Federal O-Home O-Lo X-##an O-Mo X-##rt X-##ga X-##ge O-Corp O-. O-- X-- B-$-$ O-500 O-million O-of O-Re X-##mic O-mortgage O-securities O-being O-offered O-in O-eight O-classes O-by O-Sal X-##omo X-##n O-Brothers O-Inc O-.
Federal National Mortgage Association -- $350 million of Remic mortgage securities being offered in 11 classes by Greenwich Capital Markets.,O-Federal O-National O-Mo X-##rt X-##ga X-##ge O-Association O-- X-- B-$-$ O-350 O-million O-of O-Re X-##mic O-mortgage O-securities O-being O-offered O-in O-11 O-classes O-by O-Greenwich O-Capital O-Markets O-.
The issue brings Fannie Mae's 1989 Remic issuance to $30.2 billion and its total volume to $42.3 billion since the program began in April 1987.,O-The O-issue O-brings O-Fan X-##nie O-Mae O-' X-s O-1989 O-Re X-##mic O-is X-##su X-##ance O-to B-$-$ O-30 X-. X-2 O-billion O-and O-its O-total O-volume O-to B-$-$ O-42 X-. X-3 O-billion O-since O-the O-program O-began O-in O-April O-1987 O-.
"Hanshin Electric Railway Co. (Japan) -- $150 million of bonds due Nov. 2, 1993, with equity-purchase warrants, indicating a 4% coupon at par, via Nomura International Ltd.","O-Hans X-##hin O-Electric O-Railway O-Co O-. O-( O-Japan O-) O-- X-- B-$-$ O-150 O-million O-of O-bonds O-due O-Nov X-. O-2 O-, O-1993 O-, O-with O-equity X-- X-purchase O-warrant X-##s O-, O-indicating O-a O-4 O-% O-coup X-##on O-at O-par O-, O-via O-No X-##mura O-International O-Ltd O-."
"Each $5,000 bond carries one warrant, exercisable from Nov. 16, 1989, through Oct. 19, 1993, to buy company shares at an expected premium of 2 1/2% to the closing share price when terms are fixed Oct. 24.","O-Each B-$-$ O-5 X-, X-000 O-bond O-carries O-one O-warrant O-, O-ex X-##er X-##cis X-##able O-from O-Nov X-. O-16 O-, O-1989 O-, O-through O-Oct X-. O-19 O-, O-1993 O-, O-to O-buy O-company O-shares O-at O-an O-expected O-premium O-of O-2 O-1 O-/ O-2 O-% O-to O-the O-closing O-share O-price O-when O-terms O-are O-fixed O-Oct X-. O-24 O-."
"Toyobo Co. (Japan) -- $150 million of bonds due Nov. 1, 1993, with equity-purchase warrants, indicating a 4% coupon at par, via Daiwa Europe Ltd.","O-Toy X-##ob X-##o O-Co O-. O-( O-Japan O-) O-- X-- B-$-$ O-150 O-million O-of O-bonds O-due O-Nov X-. O-1 O-, O-1993 O-, O-with O-equity X-- X-purchase O-warrant X-##s O-, O-indicating O-a O-4 O-% O-coup X-##on O-at O-par O-, O-via O-Dai X-##wa O-Europe O-Ltd O-."
"Each $5000 bond carries one warrant, exercisable from Nov. 15, 1989, to Oct. 18, 1993, to buy company shares at an expected premium of 2 1/2% to the closing share price when terms are fixed Oct. 23.","O-Each B-$-$ O-5000 O-bond O-carries O-one O-warrant O-, O-ex X-##er X-##cis X-##able O-from O-Nov X-. O-15 O-, O-1989 O-, O-to O-Oct X-. O-18 O-, O-1993 O-, O-to O-buy O-company O-shares O-at O-an O-expected O-premium O-of O-2 O-1 O-/ O-2 O-% O-to O-the O-closing O-share O-price O-when O-terms O-are O-fixed O-Oct X-. O-23 O-."
"Sammi Steel Co. (Korea) -- $50 million of bonds due Nov. 8, 1994, with equity-purchase warrants, indicating a 1 1/4% to 1 3/4% coupon at par, via Merrill Lynch International Ltd. and Dong Suh Securities Co.","O-Sam X-##mi O-Steel O-Co O-. O-( O-Korea O-) O-- X-- B-$-$ O-50 O-million O-of O-bonds O-due O-Nov X-. O-8 O-, O-1994 O-, O-with O-equity X-- X-purchase O-warrant X-##s O-, O-indicating O-a O-1 O-1 O-/ O-4 O-% O-to O-1 O-3 O-/ O-4 O-% O-coup X-##on O-at O-par O-, O-via O-Merrill O-Lynch O-International O-Ltd X-. O-and O-Dong O-Su X-##h O-Securities O-Co O-."
"Each $5,000 bond carries one warrant, exercisable from May 8, 1991, through Oct. 8, 1994, to buy company shares at an expected premium of 75% to 85% to the closing share price when terms are fixed Oct. 18.","O-Each B-$-$ O-5 X-, X-000 O-bond O-carries O-one O-warrant O-, O-ex X-##er X-##cis X-##able O-from O-May O-8 O-, O-1991 O-, O-through O-Oct X-. O-8 O-, O-1994 O-, O-to O-buy O-company O-shares O-at O-an O-expected O-premium O-of O-75 O-% O-to O-85 O-% O-to O-the O-closing O-share O-price O-when O-terms O-are O-fixed O-Oct X-. O-18 O-."
"Tennessee Valley Authority -- A $4 billion, three-part offering of power bonds priced through an underwriting group led by First Boston Corp.","O-Tennessee O-Valley O-Authority O-- X-- O-A B-$-$ O-4 O-billion O-, O-three X-- X-part O-offering O-of O-power O-bonds O-priced O-through O-an O-under X-##writing O-group O-led O-by O-First O-Boston O-Corp O-."
The size of the issue was increased from an originally planned $3 billion.,O-The O-size O-of O-the O-issue O-was O-increased O-from O-an O-originally O-planned B-$-$ O-3 O-billion O-.
"The first part, consisting of $2 billion of bonds due Oct. 1, 2019, with a five-year non-call provision, was priced as 8 3/4% securities at 96.808 to yield 9.06%.","O-The O-first O-part O-, O-consisting O-of B-$-$ O-2 O-billion O-of O-bonds O-due O-Oct X-. O-1 O-, O-2019 O-, O-with O-a O-five X-- X-year O-non X-- X-call O-provision O-, O-was O-priced O-as O-8 O-3 O-/ O-4 O-% O-securities O-at O-96 X-. X-80 X-##8 O-to O-yield O-9 X-. X-06 O-% O-."
"The second part, consisting of $1 billion of noncallable bonds due Oct. 1, 1999, was priced as 8 3/8% securities at 99.691 to yield 8.42%.","O-The O-second O-part O-, O-consisting O-of B-$-$ O-1 O-billion O-of O-non X-##cal X-##la X-##ble O-bonds O-due O-Oct X-. O-1 O-, O-1999 O-, O-was O-priced O-as O-8 O-3 O-/ O-8 O-% O-securities O-at O-99 X-. X-69 X-##1 O-to O-yield O-8 X-. X-42 O-% O-."
"The third part, consisting of $1 billion of noncallable bonds due Oct. 1, 1994, was priced as 8 1/4% securities at 99.672 to yield 8.33%.","O-The O-third O-part O-, O-consisting O-of B-$-$ O-1 O-billion O-of O-non X-##cal X-##la X-##ble O-bonds O-due O-Oct X-. O-1 O-, O-1994 O-, O-was O-priced O-as O-8 O-1 O-/ O-4 O-% O-securities O-at O-99 X-. X-67 X-##2 O-to O-yield O-8 X-. X-33 O-% O-."
The massages last 15 minutes and typically cost about $10.,O-The O-massage X-##s O-last O-15 O-minutes O-and O-typically O-cost O-about B-$-$ O-10 O-.
"""The culture is not ready to take off its clothes, lie down and be touched for an hour for $45,"" he says.","O-"" O-The O-culture O-is O-not O-ready O-to O-take O-off O-its O-clothes O-, O-lie O-down O-and O-be O-touched O-for O-an O-hour O-for B-$-$ O-45 O-, X-"" O-he O-says O-."
"Sitting in one of Mr. Palmer's chairs, which cost $425 and have since been copied by others, is a bit like straddling a recliner.","O-Sitting O-in O-one O-of O-Mr X-. O-Palmer O-' X-s O-chairs O-, O-which O-cost B-$-$ O-425 O-and O-have O-since O-been O-copied O-by O-others O-, O-is O-a O-bit O-like O-s X-##tra X-##ddling O-a O-re X-##cline X-##r O-."
"""It was a powerful point in my career,"" says the 31-year-old Mr. MacInnis, who has since taken out a $1 million liability policy for his business.","O-"" O-It O-was O-a O-powerful O-point O-in O-my O-career O-, X-"" O-says O-the O-31 X-- X-year X-- X-old O-Mr X-. O-Mac X-##I X-##nn X-##is O-, O-who O-has O-since O-taken O-out O-a B-$-$ O-1 O-million O-liability O-policy O-for O-his O-business O-."
"Loral Corp. said it received a $325 million order from Turkey's Ministry of Defense, the largest contract the company ever has received.","O-Lo X-##ral O-Corp O-. O-said O-it O-received O-a B-$-$ O-325 O-million O-order O-from O-Turkey O-' X-s O-Ministry O-of O-Defense O-, O-the O-largest O-contract O-the O-company O-ever O-has O-received O-."
"Last month, Morgan Grenfell announced its pretax profit rose 49.6% to #32.8 million in the first half, boosted by a healthy growth in its domestic and international corporate finance business.","O-Last O-month O-, O-Morgan O-G X-##ren X-##fell O-announced O-its O-pre X-##ta X-##x O-profit O-rose O-49 X-. X-6 O-% O-to B-$-# O-32 X-. X-8 O-million O-in O-the O-first O-half O-, O-boost X-##ed O-by O-a O-healthy O-growth O-in O-its O-domestic O-and O-international O-corporate O-finance O-business O-."
"Last week another potential buyer, Whitehall Financial Group -- which had agreed in August to purchase most of Integrated's core companies for $310 million -- ended talks with Integrated.","O-Last O-week O-another O-potential O-buyer O-, O-White X-##hall O-Financial O-Group O-- X-- O-which O-had O-agreed O-in O-August O-to O-purchase O-most O-of O-Integrated O-' X-s O-core O-companies O-for B-$-$ O-310 O-million O-- X-- O-ended O-talks O-with O-Integrated O-."
Integrated also said it expects to report a second-quarter loss wider than the earlier estimate of about $600 million.,O-Integrated O-also O-said O-it O-expects O-to O-report O-a O-second X-- X-quarter O-loss O-wider O-than O-the O-earlier O-estimate O-of O-about B-$-$ O-600 O-million O-.
"In composite trading on the New York Stock Exchange yesterday, Integrated closed at $1.25 a share, down 25 cents.","O-In O-composite O-trading O-on O-the O-New O-York O-Stock O-Exchange O-yesterday O-, O-Integrated O-closed O-at B-$-$ O-1 X-. X-25 O-a O-share O-, O-down O-25 O-cents O-."
"Integrated has been struggling to avoid a bankruptcy-law filing since June, when it failed to make interest payments on nearly $1 billion of debt.","O-Integrated O-has O-been O-struggling O-to O-avoid O-a O-bankruptcy X-- X-law O-filing O-since O-June O-, O-when O-it O-failed O-to O-make O-interest O-payments O-on O-nearly B-$-$ O-1 O-billion O-of O-debt O-."
Integrated senior and junior creditors are owed a total of about $1.8 billion.,O-Integrated O-senior O-and O-junior O-creditors O-are O-owed O-a O-total O-of O-about B-$-$ O-1 X-. X-8 O-billion O-.
"ONE LIBERTY PROPERTIES Inc. declared a dividend of 40 cents a share on its $16.50 cumulative convertible preferred stock, payable Jan. 2 to stock of record Dec. 8.","O-ONE O-L X-##IB X-##ER X-##TY O-PR X-##OP X-##ER X-##TI X-##ES O-Inc O-. O-declared O-a O-divide X-##nd O-of O-40 O-cents O-a O-share O-on O-its B-$-$ O-16 X-. X-50 O-cumulative O-convertible O-preferred O-stock O-, O-pay X-##able O-Jan X-. O-2 O-to O-stock O-of O-record O-Dec X-. O-8 O-."
"Long-term Treasury issues declined about half a point, or $5 for each $1,000 face amount.","O-Long X-- X-term O-Treasury O-issues O-declined O-about O-half O-a O-point O-, O-or B-$-$ O-5 O-for O-each B-$-$ O-1 X-, X-000 O-face O-amount O-."
The dollar initially fell against other major currencies on news that the U.S. trade deficit surged in August to $10.77 billion.,O-The O-dollar O-initially O-fell O-against O-other O-major O-cu X-##rre X-##ncies O-on O-news O-that O-the O-U X-. X-S X-. O-trade O-deficit O-surged O-in O-August O-to B-$-$ O-10 X-. X-77 O-billion O-.
"General Motors Corp. 's Chevrolet division, reacting to slow sales, said it will offer $800 rebates on its 1990 Beretta, the two-door version of its core compact-car line.","O-General O-Motors O-Corp O-. O-' O-s O-Chevrolet O-division O-, O-react X-##ing O-to O-slow O-sales O-, O-said O-it O-will O-offer B-$-$ O-800 O-re X-##bate X-##s O-on O-its O-1990 O-Be X-##retta O-, O-the O-two X-- X-door O-version O-of O-its O-core O-compact X-- X-car O-line O-."
Chevrolet already is offering an $800 rebate on the 1990-model Corsica.,O-Chevrolet O-already O-is O-offering O-an B-$-$ O-800 O-re X-##bate O-on O-the O-1990 X-- X-model O-Co X-##rs X-##ica O-.
"The News agreed to pay a minimum of $100,000 annually for five years for the features, and an unusual $500,000 fee, mostly up front, to keep all current and future Universal offerings for itself in the Dallas area.","O-The O-News O-agreed O-to O-pay O-a O-minimum O-of B-$-$ O-100 X-, X-000 O-annually O-for O-five O-years O-for O-the O-features O-, O-and O-an O-unusual B-$-$ O-500 X-, X-000 O-fee O-, O-mostly O-up O-front O-, O-to O-keep O-all O-current O-and O-future O-Universal O-offerings O-for O-itself O-in O-the O-Dallas O-area O-."
"However, Mr. Smith said that as a result of a $70 billion factory-modernization program undertaken over the last decade, ""we can produce more in the new plants than we could in the old plants.""","O-However O-, O-Mr X-. O-Smith O-said O-that O-as O-a O-result O-of O-a B-$-$ O-70 O-billion O-factory X-- X-modernization O-program O-undertaken O-over O-the O-last O-decade O-, O-"" O-we O-can O-produce O-more O-in O-the O-new O-plants O-than O-we O-could O-in O-the O-old O-plants O-. O-"""
Zurn Industries Inc. said it received approval to proceed on four separate projects with a total contract value of $59 million.,O-Z X-##urn O-Industries O-Inc O-. O-said O-it O-received O-approval O-to O-proceed O-on O-four O-separate O-projects O-with O-a O-total O-contract O-value O-of B-$-$ O-59 O-million O-.
"At Bear Stearns Cos., for example, the 15 executive officers led by Chairman Alan ""Ace"" Greenberg got a pay increase to $35.9 million for the 14-month period ended June 30 from $22.9 million for the 12 months ended April 30, 1988.","O-At O-Bear O-St X-##ear X-##ns O-Co X-##s X-. O-, O-for O-example O-, O-the O-15 O-executive O-officers O-led O-by O-Chairman O-Alan O-"" O-Ace O-"" O-Greenberg O-got O-a O-pay O-increase O-to B-$-$ O-35 X-. X-9 O-million O-for O-the O-14 X-- X-month O-period O-ended O-June O-30 O-from B-$-$ O-22 X-. X-9 O-million O-for O-the O-12 O-months O-ended O-April O-30 O-, O-1988 O-."
"Mr. Greenberg himself was paid $4.5 million, before an estimated $1.5 million in dividends, up from $2.4 million the year before.","O-Mr X-. O-Greenberg O-himself O-was O-paid B-$-$ O-4 X-. X-5 O-million O-, O-before O-an O-estimated B-$-$ O-1 X-. X-5 O-million O-in O-divide X-##nds O-, O-up O-from B-$-$ O-2 X-. X-4 O-million O-the O-year O-before O-."
"""All of us are on a base salary of $200,000 if the firm makes nothing -- and that's pretty low as far as Wall Street goes,"" Mr. Montgoris said.","O-"" O-All O-of O-us O-are O-on O-a O-base O-salary O-of B-$-$ O-200 X-, X-000 O-if O-the O-firm O-makes O-nothing O-- X-- O-and O-that O-' X-s O-pretty O-low O-as O-far O-as O-Wall O-Street O-goes O-, X-"" O-Mr X-. O-Mont X-##gor X-##is O-said O-."
Four Bear Stearns executives besides the 62-year-old Mr. Greenberg were paid $3 million or more before dividends for the 14 months ended in June.,O-Four O-Bear O-St X-##ear X-##ns O-executives O-besides O-the O-62 X-- X-year X-- X-old O-Mr X-. O-Greenberg O-were O-paid B-$-$ O-3 O-million O-or O-more O-before O-divide X-##nds O-for O-the O-14 O-months O-ended O-in O-June O-.
"According to the proxy statement, James E. Cayne, 55, Bear Stearns's president, made $3.9 million; an executive vice president, Michael L. Tarnopol, 53, made nearly $3.4 million; and two executive vice presidents, Vincent J. Mattone, 44, and William J. Michaelcheck, 42, made about $3.3 million each.","O-According O-to O-the O-pro X-##xy O-statement O-, O-James O-E X-. O-C X-##ayne O-, O-55 O-, O-Bear O-St X-##ear X-##ns O-' X-s O-president O-, O-made B-$-$ O-3 X-. X-9 O-million O-; O-an O-executive O-vice O-president O-, O-Michael O-L X-. O-Ta X-##rno X-##pol O-, O-53 O-, O-made O-nearly B-$-$ O-3 X-. X-4 O-million O-; O-and O-two O-executive O-vice O-presidents O-, O-Vincent O-J X-. O-Matt X-##one O-, O-44 O-, O-and O-William O-J X-. O-Michael X-##che X-##ck O-, O-42 O-, O-made O-about B-$-$ O-3 X-. X-3 O-million O-each O-."
"A federal appeals court struck down a natural-gas regulation that had prevented pipeline companies from passing to customers part of $1 billion in costs from controversial ""take-or-pay"" contracts.","O-A O-federal O-appeals O-court O-struck O-down O-a O-natural X-- X-gas O-regulation O-that O-had O-prevented O-pipeline O-companies O-from O-passing O-to O-customers O-part O-of B-$-$ O-1 O-billion O-in O-costs O-from O-controversial O-"" O-take X-- X-or X-- X-pay O-"" O-contracts O-."
"But pipeline companies estimate they still face $2.4 billion in liabilities from unresolved disputes, including $1 billion they fear they won't be able to pass on to customers.","O-But O-pipeline O-companies O-estimate O-they O-still O-face B-$-$ O-2 X-. X-4 O-billion O-in O-l X-##ia X-##bilities O-from O-un X-##res X-##ol X-##ved O-disputes O-, O-including B-$-$ O-1 O-billion O-they O-fear O-they O-w X-##o O-n X-' X-t O-be O-able O-to O-pass O-on O-to O-customers O-."
"Net fell to $40.1 million, or $1.50 a share, from $60.7 million, or $2.32 a share, a year earlier.","O-Net O-fell O-to B-$-$ O-40 X-. X-1 O-million O-, O-or B-$-$ O-1 X-. X-50 O-a O-share O-, O-from B-$-$ O-60 X-. X-7 O-million O-, O-or B-$-$ O-2 X-. X-32 O-a O-share O-, O-a O-year O-earlier O-."
Sales for the quarter slipped 2.7% to $601.3 million from $618.1 million.,O-Sales O-for O-the O-quarter O-slipped O-2 X-. X-7 O-% O-to B-$-$ O-60 X-##1 X-. X-3 O-million O-from B-$-$ O-61 X-##8 X-. X-1 O-million O-.
"Goodrich's vinyl-products segment reported operating profit for the quarter of $30.1 million, less than half the $64.1 million of the year-earlier quarter.","O-Good X-##rich O-' X-s O-vinyl X-- X-products O-segment O-reported O-operating O-profit O-for O-the O-quarter O-of B-$-$ O-30 X-. X-1 O-million O-, O-less O-than O-half O-the B-$-$ O-64 X-. X-1 O-million O-of O-the O-year X-- X-earlier O-quarter O-."
Third-quarter operating profit of the specialty-chemicals group declined slightly to $24.3 million from $24.9 million.,O-Third X-- X-quarter O-operating O-profit O-of O-the O-specialty X-- X-chemicals O-group O-declined O-slightly O-to B-$-$ O-24 X-. X-3 O-million O-from B-$-$ O-24 X-. X-9 O-million O-.
But operating profit from aerospace products rose nearly 50% to $15 million from $10.1 million.,O-But O-operating O-profit O-from O-aerospace O-products O-rose O-nearly O-50 O-% O-to B-$-$ O-15 O-million O-from B-$-$ O-10 X-. X-1 O-million O-.
"In New York Stock Exchange composite trading, shares of the Akron, Ohio-based company fell $1.375 to $49.125.","O-In O-New O-York O-Stock O-Exchange O-composite O-trading O-, O-shares O-of O-the O-Akron O-, O-Ohio X-- X-based O-company O-fell B-$-$ O-1 X-. X-375 O-to B-$-$ O-49 X-. X-125 O-."
"Lionel Corp. 's board unanimously rejected a tender offer of $8 a share, or $95.4 million, for as much as 90% of Lionel by a group with a 9.9% stake in the toy retailer.","O-Lionel O-Corp O-. O-' O-s O-board O-unanimously O-rejected O-a O-tender O-offer O-of B-$-$ O-8 O-a O-share O-, O-or B-$-$ O-95 X-. X-4 O-million O-, O-for O-as O-much O-as O-90 O-% O-of O-Lionel O-by O-a O-group O-with O-a O-9 X-. X-9 O-% O-stake O-in O-the O-toy O-retailer O-."
"The four-wheel-drive vehicles start at $15,000; a Family can cost over $25,000.","O-The O-four X-- X-wheel X-- X-drive O-vehicles O-start O-at B-$-$ O-15 X-, X-000 O-; O-a O-Family O-can O-cost O-over B-$-$ O-25 X-, X-000 O-."
